排名,审计ID,推荐层级,老药新用类型,药物,药物ChEMBL_ID,原适应症领域,原领域英文,候选靶点,靶点名称,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,agent决策,风险等级,是否同原适应症领域,是否同已知靶点家族,是否已知靶点/对照,文献状态,PubMed总窗计数,上市后PubMed计数,PubMed总窗PMID,上市后PMID,候选病种说明,机制审计,可行性审计,首选实验,反筛建议,审计备注
22,strict895_0837,第一轮优先,同领域同靶点家族扩展,Infigratinib Phosphate,CHEMBL1852688,肿瘤,Oncology,FLT3,Receptor-type tyrosine-protein kinase FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,81.0,0.62431186,6,0.8354100756215777,激酶生化/细胞,keep_high,low,是,是,否,上市后文献有新靶点线索,3,1,36185300;31770593;27992319,36185300,"优先聚焦急性髓系白血病；备选模型为贫血、急性髓系白血病、慢性髓系白血病。child OT 最强指向急性髓系白血病（score=0.835, genetic=0.547, clinical=0.972, literature=0.999）。","机制较强：Infigratinib Phosphate -> FLT3（Receptor-type tyrosine-protein kinase FLT3）在血液方向可通过激酶生化+细胞通路验证；child OT 最强指向急性髓系白血病（score=0.835, genetic=0.547, clinical=0.972, literature=0.999）；ConPLEx=0.624/rank6。 主要限制：novelty 受原适应症/同类药机制影响。",高：输入 disease fit=高、TE feasibility=高；重组酶活和细胞 phospho-readout 成熟。,FLT3 重组激酶 IC50/Kd、ATP 竞争和 DSF/SPR；细胞中检测 phospho-substrate、CETSA/NanoBRET 或下游 pERK/pSTAT/pAKT，并在急性髓系白血病模型做 8-10 点剂量反应。,广谱 kinome/同家族 kinase panel、ATP 竞争、关键下游通路旁路抑制；细胞毒性、聚集体/PAINS、药物原批准主靶点和同类药机制反筛。,高优先保留：child OT、可成药 assay 和计算 rank/score 基本同向；child OT score >=0.80；novelty 偏弱。
23,strict895_0864,第一轮优先,同领域同靶点家族扩展,Selpercatinib,CHEMBL4559134,肿瘤,Oncology,BRAF,Serine/threonine-protein kinase B-raf,黑色素瘤,melanoma,实体瘤,81.0,0.55524075,30,0.819548256089721,激酶生化/细胞,keep_high,low,是,是,否,上市后文献有新靶点线索,37,36,42187588;41374970;41255652,42187588;41374970;41255652,"优先聚焦黑色素瘤；备选模型为BRAF突变黑色素瘤、甲状腺癌、结直肠癌。child OT 最强指向黑色素瘤（score=0.820, genetic=0.699, clinical=0.978, literature=0.998）。","机制较强：Selpercatinib -> BRAF（Serine/threonine-protein kinase B-raf）在肿瘤方向可通过激酶生化+细胞通路验证；child OT 最强指向黑色素瘤（score=0.820, genetic=0.699, clinical=0.978, literature=0.998）；ConPLEx=0.555/rank30。 主要限制：novelty 受原适应症/同类药机制影响。",高：输入 disease fit=高、TE feasibility=高；重组酶活和细胞 phospho-readout 成熟。,BRAF 重组激酶 IC50/Kd、ATP 竞争和 DSF/SPR；细胞中检测 phospho-substrate、CETSA/NanoBRET 或下游 pERK/pSTAT/pAKT，并在黑色素瘤模型做 8-10 点剂量反应。,广谱 kinome/同家族 kinase panel、ATP 竞争、关键下游通路旁路抑制；细胞毒性、聚集体/PAINS、药物原批准主靶点和同类药机制反筛。,高优先保留：child OT、可成药 assay 和计算 rank/score 基本同向；child OT score >=0.80；novelty 偏弱。
24,strict895_0869,第一轮优先,同领域同靶点家族扩展,Dacomitinib,CHEMBL2105719,肿瘤,Oncology,FLT3,Receptor-type tyrosine-protein kinase FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,81.0,0.54986876,4,0.8354100756215777,激酶生化/细胞,keep_high,low,是,是,否,上市后文献有新靶点线索,2,1,36185300;26462025,36185300,"优先聚焦急性髓系白血病；备选模型为急性髓系白血病、慢性髓系白血病、慢性淋巴细胞白血病。child OT 最强指向急性髓系白血病（score=0.835, genetic=0.547, clinical=0.972, literature=0.999）。","机制较强：Dacomitinib -> FLT3（Receptor-type tyrosine-protein kinase FLT3）在肿瘤方向可通过激酶生化+细胞通路验证；child OT 最强指向急性髓系白血病（score=0.835, genetic=0.547, clinical=0.972, literature=0.999）；ConPLEx=0.550/rank4。 主要限制：novelty 受原适应症/同类药机制影响。",高：输入 disease fit=高、TE feasibility=高；重组酶活和细胞 phospho-readout 成熟。,FLT3 重组激酶 IC50/Kd、ATP 竞争和 DSF/SPR；细胞中检测 phospho-substrate、CETSA/NanoBRET 或下游 pERK/pSTAT/pAKT，并在急性髓系白血病模型做 8-10 点剂量反应。,广谱 kinome/同家族 kinase panel、ATP 竞争、关键下游通路旁路抑制；细胞毒性、聚集体/PAINS、药物原批准主靶点和同类药机制反筛。,高优先保留：child OT、可成药 assay 和计算 rank/score 基本同向；child OT score >=0.80；novelty 偏弱。
25,strict895_0011,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,CHEMBL1628504,感染性疾病,Infectious Disease,FGFR3,Fibroblast growth factor receptor 3,头颈鳞癌,head and neck squamous cell carcinoma,实体瘤,80.74593357802763,0.45653036,7,0.3455340790234503,酶/表观遗传生化,keep_high,low,否,否,否,PubMed pair审计未见明确报道,0,0,,,FGFR3 突变/融合膀胱癌、头颈鳞癌、黑色素瘤模型。,Rilpivirine Hydrochloride -> FGFR3（Fibroblast growth factor receptor 3）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,保留为高优先：靶点-疾病连接清楚且首轮 target engagement 可直接验证。 本地共现层面较干净，仍需人工排重。
26,strict895_0013,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,CHEMBL1628504,感染性疾病,Infectious Disease,BTK,Tyrosine-protein kinase BTK,肺鳞癌,squamous cell lung carcinoma,实体瘤,80.62874464780435,0.46554467,4,0.2771848910135263,激酶生化/细胞,keep_high,low,否,否,否,PubMed pair审计未见明确报道,0,0,,,BTK 依赖 B 细胞淋巴瘤、CLL、ABC-DLBCL；可扩展 B 细胞自身免疫模型。,Rilpivirine Hydrochloride -> BTK（Tyrosine-protein kinase BTK）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,保留为高优先：靶点-疾病连接清楚且首轮 target engagement 可直接验证。 本地共现层面较干净，仍需人工排重。
27,strict895_0418,第一轮优先,跨大领域老药新用,Abiraterone Acetate,CHEMBL271227,肿瘤,Oncology,KCND3,A-type voltage-gated potassium channel KCND3,心律失常,cardiac arrhythmia,心血管,80.42538807299101,0.5248671,51,0.5522394699107118,离子通道功能,keep_high,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,室性/房性心律失常、心衰复极异常模型,机制较聚焦：KCND3与室性/房性心律失常、心衰复极异常模型的病理轴一致，且该药-靶点假说可用直接engagement和功能readout验证，值得作为本块优先保留。,中等到中高：电生理可直接验证，但成本较高，需严格做hERG/同家族通道和膜扰动反筛。,KCND3 手动/自动膜片钳剂量反应；必要时用电流-电压曲线、洗脱可逆性和离子通量 readout 确认直接通道调节。,hERG/KCNH2、SCN5A、同亚型通道panel、膜扰动、细胞毒性和非特异电生理伪影反筛。,本地PubMed审计未见已报道线索，若验证阳性有一定新颖性。；药内排名靠后，优先级下降。；原自动lane按转运体处理不合适，应改为Kv4.3电生理。；建议进入首批确认实验，但仍需先做选择性反筛。
28,strict895_0084,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,CHEMBL1628504,感染性疾病,Infectious Disease,SYK,Tyrosine-protein kinase SYK,弥漫大B细胞淋巴瘤,diffuse large B-cell lymphoma,血液肿瘤/血液病,80.36864805149142,0.44111168,10,0.3163008733996184,激酶生化/细胞,keep_high,low,否,否,否,PubMed pair审计未见明确报道,0,0,,,SYK 依赖 DLBCL、B 细胞淋巴瘤、多发性骨髓瘤模型。,Rilpivirine Hydrochloride -> SYK（Tyrosine-protein kinase SYK）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,保留为高优先：靶点-疾病连接清楚且首轮 target engagement 可直接验证。 本地共现层面较干净，仍需人工排重。
29,strict895_0866,第一轮优先,同领域同靶点家族扩展,Regorafenib,CHEMBL1946170,肿瘤,Oncology,FLT3,Receptor-type tyrosine-protein kinase FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,79.452832,0.4668464,1,0.8354100756215777,激酶生化/细胞,keep_high,low,是,是,否,上市后文献有新靶点线索,8,8,41928486;35062934;33075166,41928486;35062934;33075166,"优先聚焦急性髓系白血病；备选模型为急性髓系白血病、慢性髓系白血病、慢性淋巴细胞白血病。child OT 最强指向急性髓系白血病（score=0.835, genetic=0.547, clinical=0.972, literature=0.999）。","机制较强：Regorafenib -> FLT3（Receptor-type tyrosine-protein kinase FLT3）在肿瘤方向可通过激酶生化+细胞通路验证；child OT 最强指向急性髓系白血病（score=0.835, genetic=0.547, clinical=0.972, literature=0.999）；ConPLEx=0.467/rank1。 主要限制：novelty 受原适应症/同类药机制影响。",高：输入 disease fit=高、TE feasibility=高；重组酶活和细胞 phospho-readout 成熟。,FLT3 重组激酶 IC50/Kd、ATP 竞争和 DSF/SPR；细胞中检测 phospho-substrate、CETSA/NanoBRET 或下游 pERK/pSTAT/pAKT，并在急性髓系白血病模型做 8-10 点剂量反应。,广谱 kinome/同家族 kinase panel、ATP 竞争、关键下游通路旁路抑制；细胞毒性、聚集体/PAINS、药物原批准主靶点和同类药机制反筛。,高优先保留：child OT、可成药 assay 和计算 rank/score 基本同向；child OT score >=0.80；novelty 偏弱。
30,strict895_0097,第一轮优先,跨大领域老药新用,Emtricitabine,CHEMBL885,感染性疾病,Infectious Disease,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2,乳腺癌,breast carcinoma,实体瘤,79.41077191136566,0.5275529,21,0.284923196060696,激酶生化/细胞,keep_high,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,MAP2K2/MEK2 活化的胃癌或 RAS/MAPK 依赖实体瘤,机制合理：MAP2K2 与MAP2K2/MEK2 活化的胃癌或 RAS/MAPK 依赖实体瘤形成可检验疾病轴，输入证据和 assay 可行性较好；药物-MAP2K2 仍需正交 engagement 确认。,高：target engagement 与疾病功能 readout 都有成熟体系，建议直接做 8-10 点剂量依赖和遗传/药理 rescue。,MAP2K2 重组 kinase IC50/Kd、DSF/SPR 或 NanoBRET/CETSA；细胞层面检测对应 phospho-substrate 与剂量依赖 pathway readout。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,MAP2K2-胃癌/MAPK 依赖肿瘤轴合理，ConPLEx 分数高且本地共现干净；需排除核苷类似物一般细胞毒性。
31,strict895_0223,第一轮优先,跨大领域老药新用,Naloxegol Oxalate,CHEMBL2219418,神经/精神,Neurology/Psychiatry,KCNK3,Potassium channel subfamily K member 3,肺动脉高压,pulmonary arterial hypertension,心血管,79.26503418496569,0.611532,32,0.5006681859984753,离子通道功能,keep_high,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,肺动脉高压、右心肥厚和心衰相关 KCNK3/TASK-1 电流模型,KCNK3/TASK-1 控制肺血管平滑肌静息电位，与肺动脉高压和右心重塑高度匹配。,中高：电生理 readout 直接但成本较高，必须同步安全性通道和膜扰动反筛。,KCNK3 手动/自动膜片钳剂量反应；必要时用电流-电压曲线、洗脱可逆性和离子通量 readout 确认直接通道调节。,hERG/KCNH2、SCN5A、同亚型通道panel、膜扰动、细胞毒性和非特异电生理伪影反筛。,"KCNK3 心血管方向重复出现且 Naloxegol 预测强，适合与 Maraviroc-KCNK3 并行验证。 评分：ConPLEx=0.612, rank=32, OT=0.81, TxGNN=0.70, CREEDS=2；本地共现未报告。"
32,strict895_0188,第一轮优先,跨大领域老药新用,Maraviroc,CHEMBL256907,感染性疾病,Infectious Disease,KCNK3,Potassium channel subfamily K member 3,肺动脉高压,pulmonary arterial hypertension,心血管,79.26503418496569,0.59478486,31,0.5006681859984753,离子通道功能,keep_high,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,肺动脉高压、右心肥厚和心衰相关 KCNK3/TASK-1 电流模型,KCNK3/TASK-1 控制肺血管平滑肌静息电位，与肺动脉高压和右心重塑高度匹配。,中高：电生理 readout 直接但成本较高，必须同步安全性通道和膜扰动反筛。,KCNK3 手动/自动膜片钳剂量反应；必要时用电流-电压曲线、洗脱可逆性和离子通量 readout 确认直接通道调节。,hERG/KCNH2、SCN5A、同亚型通道panel、膜扰动、细胞毒性和非特异电生理伪影反筛。,"KCNK3 与肺动脉高压/右心重塑高度相关，电生理读数清晰，值得优先验证。 评分：ConPLEx=0.595, rank=31, OT=0.81, TxGNN=0.77, CREEDS=2；本地共现未报告。"
33,strict895_0143,第一轮优先,跨大领域老药新用,Abiraterone Acetate,CHEMBL271227,肿瘤,Oncology,KCNK3,Potassium channel subfamily K member 3,肺动脉高压,pulmonary arterial hypertension,心血管,79.26503418496569,0.55425024,36,0.5006681859984753,离子通道功能,keep_high,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,KCNK3/TASK-1 相关肺动脉高压和心衰右室重构模型,机制合理：KCNK3 与KCNK3/TASK-1 相关肺动脉高压和心衰右室重构模型形成可检验疾病轴，输入证据和 assay 可行性较好；药物-KCNK3 仍需正交 engagement 确认。,高：target engagement 与疾病功能 readout 都有成熟体系，建议直接做 8-10 点剂量依赖和遗传/药理 rescue。,KCNK3 手动/自动膜片钳剂量反应；必要时用电流-电压曲线、洗脱可逆性和离子通量 readout 确认直接通道调节。,hERG/KCNH2、SCN5A、同亚型通道panel、膜扰动、细胞毒性和非特异电生理伪影反筛。,KCNK3 心肺血管疾病定位好，Abiraterone ConPLEx 高且本地共现干净；需严控矿物皮质激素样心血管副作用。
34,strict895_0481,第一轮优先,跨大领域老药新用,Tecovirimat,CHEMBL5315121,感染性疾病,Infectious Disease,PTPN11,Tyrosine-protein phosphatase non-receptor type 11,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,78.35483140477304,0.36881047,58,0.6434226431750978,酶/表观遗传生化,keep_high,低,否,否,否,PubMed pair审计未见明确报道,0,0,,,SHP2/PTPN11依赖RAS-MAPK实体瘤、AML和肺癌模型,机制较强：PTPN11/SHP2是明确RAS-MAPK肿瘤节点，Tecovirimat无同方向药理，具备较好新颖性和可实验性。,高：SHP2结合/磷酸酶和pERK/pSTAT细胞readout可行；需排除红氧/聚集体。,SHP2磷酸酶/变构结合实验，细胞用RTK刺激pERK/pSTAT下降和CETSA验证。,PTPN1/PTPN6/PTPRB等PTP panel，氧化还原抑制、金属螯合、聚集体和细胞毒性反筛。,建议优先验证，若SHP2变构/催化抑制成立，可进入RAS依赖肿瘤细胞模型。
35,strict895_0566,第一轮优先,同领域同靶点家族扩展,Larotrectinib Sulfate,CHEMBL3989939,肿瘤,Oncology,TYK2,Non-receptor tyrosine-protein kinase TYK2,银屑病,psoriasis,皮肤/免疫,78.20983020984075,0.47768483,42,0.7222757693262555,激酶生化/细胞,keep_high,中高,是,是,否,PubMed pair审计未见明确报道,0,0,,,银屑病（Open Targets child 明确优先）；鼻咽癌/前列腺癌仅作低优先级探索,机制审计：优先保留。TYK2 连接 IL-12/IL-23/IFN 信号，银屑病 child OT 遗传和临床证据都强，疾病选择明确。child OT 和靶点生物学共同支持具体病种，适合进入首轮正交验证。 child OT 最佳疾病为 psoriasis（score=0.722）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,TYK2 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,"建议进入首轮小规模正交验证。 审计依据：child OT=psoriasis(0.722), ConPLEx=0.478/rank42; literature_status=unreported_in_pubmed_pair_audit. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
