排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,对照编号,对照证据类型,对照确认状态,当前实验建议,需先确认的事项,名称与实物核验说明,药物完整InChIKey,新靶点ChEMBL编号,对照ChEMBL编号,对照完整InChIKey
53,P1 前10排名且仍可探索,C384-009,alpelisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",DPP4 — Dipeptidyl peptidase 4,LINAGLIPTIN,CTRL-065,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,使用活性DPP4胞外域及参照，同时测酶活；若只见细胞通路变化不升级直接结合结论。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,STUWGJZDJHPWGZ-LBPRGKRZSA-N,CHEMBL284,CHEMBL237500,LTXREWYXXSTFRX-QGZVFWFLSA-N
54,P1 前10排名且仍可探索,C384-031,atrasentan,Endothelin-1 receptor,EGLN3 — Prolyl hydroxylase EGLN3,研究化合物 CHEMBL3133890（无通用名称）,CTRL-112,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,查名单对应原始数据，未证成直接作用前不单独建体系。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,MOTJMGVDPWRKOC-QPVYNBJUSA-N,CHEMBL5705,CHEMBL3133890,NZNPMUUOXMZCBF-UHFFFAOYSA-N
55,P1 前10排名且仍可探索,C384-201,methocarbamol,Carbonic anhydrase 1,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE,CTRL-084,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,同条件比较CA4与CA1/2，明确亚型。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GNXFOGHNGIVQEH-UHFFFAOYSA-N,CHEMBL3729,CHEMBL20,BZKPWHYZMXOIDC-UHFFFAOYSA-N
56,P1 前10排名且仍可探索,C384-204,avanafil,"cGMP-specific 3',5'-cyclic phosphodiesterase",FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,SIROLIMUS,CTRL-010,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,用FKBP12竞争检验而非沿用血浆结合率。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WEAJZXNPAWBCOA-INIZCTEOSA-N,CHEMBL1902,CHEMBL413,QFJCIRLUMZQUOT-HPLJOQBZSA-N
57,P1 前10排名且仍可探索,C384-205,indacaterol,Beta-2 adrenergic receptor,JAK3 — Tyrosine-protein kinase JAK3,STAUROSPORINE,CTRL-039,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,JAK3生化测定及JAK1/2反筛，细胞效应单独解释。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,QZZUEBNBZAPZLX-QFIPXVFZSA-N,CHEMBL2148,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
58,P1 前10排名且仍可探索,C384-207,etravirine,Human immunodeficiency virus type 1 reverse transcriptase,MAPK9 — Mitogen-activated protein kinase 9,TANZISERTIB,CTRL-093,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,JNK亚型并行，功能阳性后收窄癌种。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,PYGWGZALEOIKDF-UHFFFAOYSA-N,CHEMBL4179,CHEMBL1950289,IBGLGMOPHJQDJB-IHRRRGAJSA-N
59,P1 前10排名且仍可探索,C384-132,diltiazem,Voltage-gated L-type calcium channel,MMP12 — Macrophage metalloelastase,研究化合物 CHEMBL2385479（无通用名称）,CTRL-097,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,核对活性MMP12构建及钙/金属条件，用配套酶学先检验；避免把改变酶环境解释为特异结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HSUGRBWQSSZJOP-RTWAWAEBSA-N,CHEMBL4393,CHEMBL2385479,QTUCHEGSWFEUBW-UHFFFAOYSA-N
60,P1 前10排名且仍可探索,C384-313,ozanimod,Sphingosine 1-phosphate receptor 1; Sphingosine 1-phosphate receptor 5,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",ROLIPRAM,CTRL-068,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,仍可探索,纯母药身份明确，不转移代谢物效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XRVDGNKRPOAQTN-FQEVSTJZSA-N,CHEMBL288,CHEMBL63,HJORMJIFDVBMOB-UHFFFAOYSA-N
61,P1 前10排名且仍可探索,C384-314,furosemide,Solute carrier family 12 member 1,REN — Renin,REMIKIREN,CTRL-067,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,纯化REN测定独立于肾素释放研究。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,CHEMBL286,CHEMBL31601,UXIGZRQVLGFTOU-VQXQMPIVSA-N
62,P1 前10排名且仍可探索,C384-322,guanfacine,Adrenergic receptor alpha-2,GSK3A — Glycogen synthase kinase-3 alpha,ABEMACICLIB,CTRL-066,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,纯GSK3A与亚型B功能比较。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,INJOMKTZOLKMBF-UHFFFAOYSA-N,CHEMBL2850,CHEMBL3301610,UZWDCWONPYILKI-UHFFFAOYSA-N
63,P1 前10排名且仍可探索,C384-010,lasmiditan,5-hydroxytryptamine receptor 1F,FLT3 — Receptor-type tyrosine-protein kinase FLT3,STAUROSPORINE,CTRL-020,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,若已有FLT3体系可留一次侦察；否则先补直接药理线索再单独投入蛋白。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XEDHVZKDSYZQBF-UHFFFAOYSA-N,CHEMBL1974,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
64,P1 前10排名且仍可探索,C384-033,pregabalin,Voltage-gated calcium channel,ACE — Angiotensin-converting enzyme,LISINOPRIL ANHYDROUS,CTRL-002,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先查直接酶活；不因联用不良反应推定ACE作用。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,AYXYPKUFHZROOJ-ZETCQYMHSA-N,CHEMBL1808,CHEMBL1237,RLAWWYSOJDYHDC-BZSNNMDCSA-N
65,P1 前10排名且仍可探索,C384-034,etravirine,Human immunodeficiency virus type 1 reverse transcriptase,SRC — Proto-oncogene tyrosine-protein kinase Src,DASATINIB ANHYDROUS,CTRL-057,"IC50,Kd,Ki",有Kd记录，待确认构建与SPR实测活性,仍可探索,按SRC UniProt/激酶名称重新核数据，匹配激酶域有直接响应再升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,PYGWGZALEOIKDF-UHFFFAOYSA-N,CHEMBL267,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
66,P1 前10排名且仍可探索,C384-073,zavegepant,"Calcitonin gene-related peptide type 1 receptor; Calcitonin-gene-related peptide receptor, CALCRL/RAMP1",PTK2 — Focal adhesion kinase 1,STAUROSPORINE,CTRL-058,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,已有PTK2激酶体系才少量侦察，先控制非特异响应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,JJVAPHYEOZSKJZ-JGCGQSQUSA-N,CHEMBL2695,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
67,P1 前10排名且仍可探索,C384-124,dasabuvir,RNA-directed RNA polymerase,PGR — Progesterone receptor,研究化合物 CHEMBL2311103（无通用名称）,CTRL-037,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,先定位具体PGR相关疾病及需要激动还是拮抗，核对PGR配体结合域和直接结合资料，再决定是否占用首批实验。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NBRBXGKOEOGLOI-UHFFFAOYSA-N,CHEMBL208,CHEMBL2311103,IJLXLZGJDSJGIQ-BILPMHSYSA-N
68,P1 前10排名且仍可探索,C384-085,imiquimod,Toll-like receptor 7,FDPS — Farnesyl pyrophosphate synthase,METHYL CARNOSATE,CTRL-001,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先直接测FDPS酶活与结合，阳性后再区分原免疫机制。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DOUYETYNHWVLEO-UHFFFAOYSA-N,CHEMBL1782,CHEMBL2333537,IIJLVJMZYPZQLW-YCRPNKLZSA-N
69,P1 前10排名且仍可探索,C384-134,varenicline,Neuronal acetylcholine receptor; alpha4/beta2,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",研究化合物 CHEMBL5810180（无通用名称）,CTRL-081,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,仍可探索,若PDE9A体系已成熟，可先廉价测cGMP水解抑制，出现可重复效应才提高SPR优先级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,JQSHBVHOMNKWFT-DTORHVGOSA-N,CHEMBL3535,CHEMBL5810180,FEPNMKDMRNRDPJ-APHBMKBZSA-N
70,P1 前10排名且仍可探索,C384-268,lacosamide,Sodium channel alpha subunit,MAOB — Amine oxidase [flavin-containing] B,LAZABEMIDE,CTRL-031,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,MAOB与MAOA功能并行，探索浓度清楚。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VPPJLAIAVCUEMN-GFCCVEGCSA-N,CHEMBL2039,CHEMBL279390,JZXRLKWWVNUZRB-UHFFFAOYSA-N
71,P1 前10排名且仍可探索,C384-323,indomethacin,Cyclooxygenase,CTSC — Dipeptidyl peptidase 1,BRENSOCATIB,CTRL-046,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,成熟人CTSC功能、pH及浓度记录。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CGIGDMFJXJATDK-UHFFFAOYSA-N,CHEMBL2252,CHEMBL3900409,AEXFXNFMSAAELR-RXVVDRJESA-N
72,P1 前10排名且仍可探索,C384-325,tofacitinib,Janus Kinase (JAK),PARP2 — Poly [ADP-ribose] polymerase 2,TALAZOPARIB,CTRL-110,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,PARP2催化实验独立于JAK细胞效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UJLAWZDWDVHWOW-YPMHNXCESA-N,CHEMBL5366,CHEMBL3137320,HWGQMRYQVZSGDQ-HZPDHXFCSA-N
73,P1 前10排名且仍可探索,C384-326,guanfacine,Adrenergic receptor alpha-2,THRB — Thyroid hormone receptor beta,LIOTHYRONINE,CTRL-017,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,仍可探索,THRB竞争与激动/拮抗报告。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,INJOMKTZOLKMBF-UHFFFAOYSA-N,CHEMBL1947,CHEMBL1544,AUYYCJSJGJYCDS-LBPRGKRZSA-N
74,P1 前10排名且仍可探索,C384-012,cabotegravir,Human immunodeficiency virus type 1 integrase,PPARG — Peroxisome proliferator-activated receptor gamma,REVERSE TRIIODOTHYRONINE,CTRL-050,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,确认纯cabotegravir实体及PPARG配体域；结合阳性后做共调节因子或报告基因，不直接推进眼病应用。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WCWSTNLSLKSJPK-LKFCYVNXSA-N,CHEMBL235,CHEMBL1743304,HZCBWYNLGPIQRK-LBPRGKRZSA-N
75,P1 前10排名且仍可探索,C384-037,terazosin,Adrenergic receptor alpha-1,NTRK3 — NT-3 growth factor receptor,STAUROSPORINE,CTRL-111,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,优先核疾病具体机制；已有TrkC体系才少量侦察。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VCKUSRYTPJJLNI-UHFFFAOYSA-N,CHEMBL5608,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
76,P1 前10排名且仍可探索,C384-038,sufentanil,Mu-type opioid receptor,PDGFRA — Platelet-derived growth factor receptor alpha,STAUROSPORINE,CTRL-026,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,若要保留只作生化脱靶研究，先证PDGFRA域结合及抑制再评疾病投入。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GGCSSNBKKAUURC-UHFFFAOYSA-N,CHEMBL2007,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
77,P1 前10排名且仍可探索,C384-125,vaborbactam,Carbapenem-hydrolyzing beta-lactamase KPC,CA1 — Carbonic anhydrase 1,ETHOXZOLAMIDE,CTRL-055,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,确认使用单独vaborbactam而非meropenem复方，先做CA1酶活和干扰检查，再考虑SPR复测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,IOOWNWLVCOUUEX-WPRPVWTQSA-N,CHEMBL261,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N
78,P1 前10排名且仍可探索,C384-126,metoprolol,Beta-1 adrenergic receptor,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE,CTRL-049,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,与该药其他CA候选合并比较优先级，先做小规模酶活；有清晰信号再分配CA7浓度梯度SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,IUBSYMUCCVWXPE-UHFFFAOYSA-N,CHEMBL2326,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N
79,P1 前10排名且仍可探索,C384-209,indacaterol,Beta-2 adrenergic receptor,CA2 — Carbonic anhydrase 2,DORZOLAMIDE,CTRL-033,"Ki,Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,含锌活性CA2及同工酶反筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,QZZUEBNBZAPZLX-QFIPXVFZSA-N,CHEMBL205,CHEMBL218490,IAVUPMFITXYVAF-XPUUQOCRSA-N
80,P1 前10排名且仍可探索,C384-211,elvitegravir,Human immunodeficiency virus type 1 integrase,MAPK8 — Mitogen-activated protein kinase 8,STAUROSPORINE,CTRL-047,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,单一艾维雷韦与JNK酶活验证，避免复方归因。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,JUZYLCPPVHEVSV-LJQANCHMSA-N,CHEMBL2276,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
81,P1 前10排名且仍可探索,C384-269,brexanolone,GABA-A receptor; anion channel,ESR2 — Estrogen receptor beta,研究化合物 CHEMBL475278（无通用名称）,CTRL-052,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,ESR2竞争/报告区分激动拮抗及非特异。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,AURFZBICLPNKBZ-SYBPFIFISA-N,CHEMBL242,CHEMBL475278,ZDSSMGFPICRDHW-VIZOYTHASA-N
82,P1 前10排名且仍可探索,C384-316,bumetanide,Solute carrier family 12 member 1,FAAH — Fatty-acid amide hydrolase 1,MK-3168,CTRL-045,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯FAAH功能独立于利尿表型，AKI获益另判。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,MAEIEVLCKWDQJH-UHFFFAOYSA-N,CHEMBL2243,CHEMBL2386558,WRBFPGYDKJBYBI-SJORKVTESA-N
83,P1 前10排名且仍可探索,C384-328,selegiline,Amine oxidase [flavin-containing] B,ACE — Angiotensin-converting enzyme,LISINOPRIL ANHYDROUS,CTRL-002,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯ACE酶活可探索，疾病方向另证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,MEZLKOACVSPNER-GFCCVEGCSA-N,CHEMBL1808,CHEMBL1237,RLAWWYSOJDYHDC-BZSNNMDCSA-N
84,P1 前10排名且仍可探索,C384-329,tizanidine,Adrenergic receptor alpha-2,GSK3A — Glycogen synthase kinase-3 alpha,ABEMACICLIB,CTRL-066,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,纯GSK3A功能验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XFYDIVBRZNQMJC-UHFFFAOYSA-N,CHEMBL2850,CHEMBL3301610,UZWDCWONPYILKI-UHFFFAOYSA-N
85,P1 前10排名且仍可探索,C384-013,pitavastatin,3-hydroxy-3-methylglutaryl-coenzyme A reductase,MMP12 — Macrophage metalloelastase,研究化合物 CHEMBL2385479（无通用名称）,CTRL-097,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,验证MMP12催化域结合和酶活，区别HMGCR介导的间接表达变化。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VGYFMXBACGZSIL-MCBHFWOFSA-N,CHEMBL4393,CHEMBL2385479,QTUCHEGSWFEUBW-UHFFFAOYSA-N
86,P1 前10排名且仍可探索,C384-014,lasmiditan,5-hydroxytryptamine receptor 1F,NTRK2 — BDNF/NT-3 growth factors receptor,STAUROSPORINE,CTRL-105,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,已有TrkB体系时可少量侦察，否则先取得独立作用线索；阳性必须再区分受体激活与抑制。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XEDHVZKDSYZQBF-UHFFFAOYSA-N,CHEMBL4898,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
87,P1 前10排名且仍可探索,C384-212,glimepiride,"Sulfonylurea receptor 1, Kir6.2",CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE,CTRL-084,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,CA4活性构建、CA1/2选择性及SPR互证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WIGIZIANZCJQQY-RUCARUNLSA-N,CHEMBL3729,CHEMBL20,BZKPWHYZMXOIDC-UHFFFAOYSA-N
88,P1 前10排名且仍可探索,C384-213,aprepitant,Substance-P receptor,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,ATORVASTATIN,CTRL-090,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,仍可探索,检测阿瑞匹坦本体；不用福沙匹坦代替。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ATALOFNDEOCMKK-OITMNORJSA-N,CHEMBL402,CHEMBL1487,XUKUURHRXDUEBC-KAYWLYCHSA-N
89,P1 前10排名且仍可探索,C384-214,vaborbactam,Carbapenem-hydrolyzing beta-lactamase KPC,MME — Neprilysin,OMAPATRILAT,CTRL-016,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,仍可探索,单成分MME功能与金属酶反筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,IOOWNWLVCOUUEX-WPRPVWTQSA-N,CHEMBL1944,CHEMBL289556,LVRLSYPNFFBYCZ-VGWMRTNUSA-N
90,P1 前10排名且仍可探索,C384-215,memantine,Glutamate [NMDA] receptor,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE,CTRL-025,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,竞争/报告测方向，不把合并节点当特定病预测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BUGYDGFZZOZRHP-UHFFFAOYSA-N,CHEMBL1994,CHEMBL273453,PQSUYGKTWSAVDQ-ZVIOFETBSA-N
91,P1 前10排名且仍可探索,C384-135,sotalol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor; Voltage-gated inwardly rectifying potassium channel KCNH2,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",PRUNETIN,CTRL-013,Ki,仅Ki记录，需先确认SPR结合适用性,仍可探索,明确ALDH2参考物、辅因子及活性方向，优先用酶学筛查后决定SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZBMZVLHSJCTVON-UHFFFAOYSA-N,CHEMBL1935,CHEMBL491174,KQMVAGISDHMXJJ-UHFFFAOYSA-N
92,P1 前10排名且仍可探索,C384-136,enasidenib,"Isocitrate dehydrogenase [NADP], mitochondrial",BRAF — Serine/threonine-protein kinase B-raf,SB590885,CTRL-107,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,仍可探索,先查具体BRAF构建与配对活性，若只见下游通路变化则不升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DYLUUSLLRIQKOE-UHFFFAOYSA-N,CHEMBL5145,CHEMBL477989,MLSAQOINCGAULQ-QFMPWRQOSA-N
93,P1 前10排名且仍可探索,C384-137,desoximetasone,Glucocorticoid receptor,PRKCB — Protein kinase C beta type,ENZASTAURIN,CTRL-071,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先用域匹配PKCβ活性检测寻找可重复线索，只有直接效应才增加SPR投入。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VWVSBHGCDBMOOT-IIEHVVJPSA-N,CHEMBL3045,CHEMBL300138,AXRCEOKUDYDWLF-UHFFFAOYSA-N
94,P1 前10排名且仍可探索,C384-226,nimodipine,Mineralocorticoid receptor; Voltage-gated L-type calcium channel,CA12 — Carbonic anhydrase 12,INDAPAMIDE,CTRL-075,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,CA12活性/溶解性合格即可探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,CHEMBL3242,CHEMBL406,NDDAHWYSQHTHNT-UHFFFAOYSA-N
95,P1 前10排名且仍可探索,C384-271,thalidomide,CRL4(CRBN) E3 ubiquitin ligase,CDK9 — Cyclin-dependent kinase 9,DINACICLIB,CTRL-072,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,仅接受纯沙利度胺CDK9生化结果，重审近邻来源。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UEJJHQNACJXSKW-UHFFFAOYSA-N,CHEMBL3116,CHEMBL2103840,PIMQWRZWLQKKBJ-SFHVURJKSA-N
96,P1 前10排名且仍可探索,C384-317,binimetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,PARP2 — Poly [ADP-ribose] polymerase 2,TALAZOPARIB,CTRL-110,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,单药PARP2酶活，不用组合效果作证据。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ACWZRVQXLIRSDF-UHFFFAOYSA-N,CHEMBL5366,CHEMBL3137320,HWGQMRYQVZSGDQ-HZPDHXFCSA-N
97,P1 前10排名且仍可探索,C384-318,ticagrelor,P2Y purinoceptor 12,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",研究化合物 CHEMBL5810180（无通用名称）,CTRL-081,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,仍可探索,纯PDE9A作用与P2Y12/ENT1分离。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,OEKWJQXRCDYSHL-FNOIDJSQSA-N,CHEMBL3535,CHEMBL5810180,FEPNMKDMRNRDPJ-APHBMKBZSA-N
